line = five3onelxjninenine45, First digit = five, Last digit = 3, f = 5, l = 3
line = 5mctgjjsm, First digit = 5, Last digit = , f = 5, l = 0
line = seven4mqtfnrsrnkghfourttbvhnnkjkmq, First digit = seven, Last digit = 4, f = 7, l = 4
line = 2three8two67, First digit = 2, Last digit = three, f = 2, l = 3
line = 9five51ninesqnbfvqnmfcjhfhzlpkgjfzmsl2, First digit = 9, Last digit = five, f = 9, l = 5
line = 5nineninesixzk, First digit = 5, Last digit = nine, f = 5, l = 9
line = 51gvkhcddt5onebkltbv, First digit = 5, Last digit = 1, f = 5, l = 1
line = 942, First digit = 9, Last digit = 4, f = 9, l = 4
line = gfpq8jmkhvvzsdbzmfkqb4, First digit = 8, Last digit = 8, f = 8, l = 8
line = 22vxpndczcgmxdsmzsthree, First digit = 2, Last digit = three, f = 2, l = 3
line = vbdzf7gtqrqjgvjj9fivekqzggs, First digit = 7, Last digit = 7, f = 7, l = 7
line = 4mzjjg6, First digit = 4, Last digit = 6, f = 4, l = 6
line = jgmncrn3five3, First digit = 3, Last digit = 3, f = 3, l = 3
line = gxghtqrjmvnjfourthree2fivevjqntqtzsix, First digit = four, Last digit = four, f = 4, l = 4
line = ntlnxtwofour9bh1, First digit = two, Last digit = two, f = 2, l = 2
line = five6three, First digit = five, Last digit = 6, f = 5, l = 6
line = threeh9cgvxnfour4, First digit = three, Last digit = 9, f = 3, l = 9
line = snbxpszrgh6mtnbmeightsixtknbnndqphbm6c, First digit = 6, Last digit = 6, f = 6, l = 6
line = 4c, First digit = 4, Last digit = , f = 4, l = 0
line = 1sixtwo2pcsjnbdrxtbjzrlssd57, First digit = 1, Last digit = six, f = 1, l = 6
line = phhxnqdrjnsonefourthree73, First digit = one, Last digit = one, f = 1, l = 1
line = threekdlzcrvgc3pxd35seven2xjnsjxlczr, First digit = three, Last digit = 3, f = 3, l = 3
line = 5lcseven, First digit = 5, Last digit = seven, f = 5, l = 7
line = one27, First digit = one, Last digit = 2, f = 1, l = 2
line = eight5k, First digit = eight, Last digit = 5, f = 8, l = 5
line = jmttwonetblnkmkjzfour8r8, First digit = two, Last digit = two, f = 2, l = 2
line = eightfive9twovfdpzrcvpppkzdpbhtwo, First digit = eight, Last digit = five, f = 8, l = 5
line = 1threedjsttltxcthreefivethree7zqlbfqdxqone, First digit = 1, Last digit = three, f = 1, l = 3
line = 5sixzgzfhmfqbp, First digit = 5, Last digit = six, f = 5, l = 6
line = 7kjfg, First digit = 7, Last digit = , f = 7, l = 0
line = zxoneight9nmlz3four4kfpmfive, First digit = one, Last digit = one, f = 1, l = 1
line = 37four2zqr6, First digit = 3, Last digit = 7, f = 3, l = 7
line = six33fiveone7, First digit = six, Last digit = 3, f = 6, l = 3
line = 522bclzxzrkxdqvpl5nggsksbk6, First digit = 5, Last digit = 2, f = 5, l = 2
line = sevenninektxk3fcxzctsseven2, First digit = seven, Last digit = 3, f = 7, l = 3
line = twofpxbkzrgrtwo1twofrnnckz, First digit = two, Last digit = two, f = 2, l = 2
line = qcdbfcrtwo123ngrvvxhn, First digit = two, Last digit = two, f = 2, l = 2
line = kdpr1seven5npjblk, First digit = 1, Last digit = 1, f = 1, l = 1
line = eight4brhnsxl228pknpptlbflncddvgrh, First digit = eight, Last digit = 4, f = 8, l = 4
line = two3four, First digit = two, Last digit = 3, f = 2, l = 3
line = bstwonenmlthreesixdsrbjjz5skpfsgmhb6zq4, First digit = two, Last digit = two, f = 2, l = 2
line = r6, First digit = 6, Last digit = , f = 6, l = 0
line = dnplx6ztonenine1cdnhfdx, First digit = 6, Last digit = 6, f = 6, l = 6
line = jjp749foureightcnrlnd9, First digit = 7, Last digit = 7, f = 7, l = 7
line = 8fourtz42xhjqkpttdfgxvhbnbmnxn, First digit = 8, Last digit = four, f = 8, l = 4
line = 1gzcvvtwodqgnsevencjfour, First digit = 1, Last digit = two, f = 1, l = 2
line = sevenvrnvzp3five, First digit = seven, Last digit = 3, f = 7, l = 3
line = ninexjnvzltwoninefour1, First digit = nine, Last digit = two, f = 9, l = 2
line = sevenvthreetdbfgjseven4foureightsix, First digit = seven, Last digit = three, f = 7, l = 3
line = 5tmbjgdjqkffivevbkkpltt8fourseven, First digit = 5, Last digit = five, f = 5, l = 5
line = 3cjnkkl98five7five, First digit = 3, Last digit = 9, f = 3, l = 9
line = seven28pplnksndqtvlsrk7msjqtzonefive, First digit = seven, Last digit = 2, f = 7, l = 2
line = 92two834, First digit = 9, Last digit = 2, f = 9, l = 2
line = mlfxonefourone48pgcqpgbbczgdr, First digit = one, Last digit = one, f = 1, l = 1
line = zfh12twonect, First digit = 1, Last digit = 1, f = 1, l = 1
line = sevenvdhbh7pztpvf6, First digit = seven, Last digit = 7, f = 7, l = 7
line = eightsix2oneone, First digit = eight, Last digit = six, f = 8, l = 6
line = fvspcp3sevenfourninethreesixqvhjdjqxseven, First digit = 3, Last digit = 3, f = 3, l = 3
line = 8fives1seven, First digit = 8, Last digit = five, f = 8, l = 5
line = 3threesix5fivexvbpnrchdcxgprxzths, First digit = 3, Last digit = three, f = 3, l = 3
line = 7fdt, First digit = 7, Last digit = , f = 7, l = 0
line = nine11rkpnktrsffqgdeightninefmtr5, First digit = nine, Last digit = 1, f = 9, l = 1
line = xvl4threeoneights, First digit = 4, Last digit = 4, f = 4, l = 4
line = one794, First digit = one, Last digit = 7, f = 1, l = 7
line = rjqxttlmkxljdfrrfkgzloneoneone8four, First digit = one, Last digit = one, f = 1, l = 1
line = 19xmcfsbskjrzpsevenone6, First digit = 1, Last digit = 9, f = 1, l = 9
line = nine42fvrtltg4khjs67jfzvp, First digit = nine, Last digit = 4, f = 9, l = 4
line = rxsxmbffpfive8ktrpczdn9, First digit = five, Last digit = five, f = 5, l = 5
line = fvzcdbfmklcfpxbgqkzxrhmb471pjgvs, First digit = 4, Last digit = 4, f = 4, l = 4
line = fiveeightnzxxqsphlqfnlffxzmtwo2tffkkv, First digit = five, Last digit = two, f = 5, l = 2
line = lkrjqsixqs5trpqbnb, First digit = six, Last digit = six, f = 6, l = 6
line = 1bkpxfnrsixfour, First digit = 1, Last digit = six, f = 1, l = 6
line = nine21kgtqcvvdmdqt, First digit = nine, Last digit = 2, f = 9, l = 2
line = three1plnrboneoneccczrnjsl7kj, First digit = three, Last digit = 1, f = 3, l = 1
line = 9dc, First digit = 9, Last digit = , f = 9, l = 0
line = htxcgnszrfive336szhb, First digit = five, Last digit = five, f = 5, l = 5
line = fivethree96vplbdqjtwo8sgrlljhtqsix, First digit = five, Last digit = three, f = 5, l = 3
line = sevenptlvbltgcsxc62, First digit = seven, Last digit = 6, f = 7, l = 6
line = vvtdhxqcmqrz91h59rnpscdjdltwo, First digit = 9, Last digit = 9, f = 9, l = 9
line = threetwo3gq7gjz, First digit = three, Last digit = 3, f = 3, l = 3
line = 7fbeight, First digit = 7, Last digit = eight, f = 7, l = 8
line = 5ninethreeninejcvz7fcqxbn5, First digit = 5, Last digit = nine, f = 5, l = 9
line = crpbppclxsixtwoqdkflfdksq3, First digit = six, Last digit = six, f = 6, l = 6
line = tnbnqxklgd17onedxsevencnmbsmr, First digit = 1, Last digit = 1, f = 1, l = 1
line = 4qzxtl46sevennhdjr, First digit = 4, Last digit = 4, f = 4, l = 4
line = honenine1, First digit = one, Last digit = one, f = 1, l = 1
line = 1nine934, First digit = 1, Last digit = nine, f = 1, l = 9
line = xhtkzvnhsixqcxkdvmzhvnine891kzsxmzsix, First digit = six, Last digit = six, f = 6, l = 6
line = ktscvdksstwo26kgjzxtlbrpxbjr, First digit = two, Last digit = two, f = 2, l = 2
line = vfjkncjdtn2sixbtqqdhqfdnine, First digit = 2, Last digit = 2, f = 2, l = 2
line = 4kvzrgninethree139eight, First digit = 4, Last digit = nine, f = 4, l = 9
line = eight6433bqvvcpljb5sixfive, First digit = eight, Last digit = 6, f = 8, l = 6
line = 3seventwo8ngvqczkjrp7, First digit = 3, Last digit = seven, f = 3, l = 7
line = rtkqmptnnsgdrhxvmfvblshpqthree7zqgx, First digit = three, Last digit = three, f = 3, l = 3
line = bltgfkkvnctqkc226qcjxcfxb68, First digit = 2, Last digit = 2, f = 2, l = 2
line = 9ronetwosix8vbnhgxxskdbc, First digit = 9, Last digit = one, f = 9, l = 1
line = 4sevenfktbgnxbvcmdrbhqrpgmsm7seveneight, First digit = 4, Last digit = seven, f = 4, l = 7
line = htp3pmpp897twossgtffdvzz, First digit = 3, Last digit = 3, f = 3, l = 3
line = gdceightwoseven4, First digit = eight, Last digit = eight, f = 8, l = 8
line = sixcznfbvhseven1four, First digit = six, Last digit = seven, f = 6, l = 7
line = 32twovthreelhpqvszgl, First digit = 3, Last digit = 2, f = 3, l = 2
line = two1threeninesix84five4, First digit = two, Last digit = 1, f = 2, l = 1
line = fourpgskmztd9ztsz7jxjmmdqqx, First digit = four, Last digit = 9, f = 4, l = 9
line = twohrbnhtrv3eight, First digit = two, Last digit = 3, f = 2, l = 3
line = 6one9eight7bzrxvxfvnrrrznncdhj7rtdvb, First digit = 6, Last digit = one, f = 6, l = 1
line = 4fhgjkkcjv, First digit = 4, Last digit = , f = 4, l = 0
line = xxphjxdfsqjj49zhpxhb, First digit = 4, Last digit = 4, f = 4, l = 4
line = gmmnine9, First digit = nine, Last digit = nine, f = 9, l = 9
line = hzn8six48one8vsmxc, First digit = 8, Last digit = 8, f = 8, l = 8
line = one7ninekhlzhdplnbnine, First digit = one, Last digit = 7, f = 1, l = 7
line = eightfoursnrdnldssh41ggf64rjlshkoneightfq, First digit = eight, Last digit = four, f = 8, l = 4
line = nine55one6, First digit = nine, Last digit = 5, f = 9, l = 5
line = mbhsqvlfhv8zsxz6seven1, First digit = 8, Last digit = 8, f = 8, l = 8
line = cjmvqktrkq18jdljgrg2, First digit = 1, Last digit = 1, f = 1, l = 1
line = 9fivethree935, First digit = 9, Last digit = five, f = 9, l = 5
line = ninehfhkzzhlkd8ninenjg, First digit = nine, Last digit = 8, f = 9, l = 8
line = 5six1three1, First digit = 5, Last digit = six, f = 5, l = 6
line = nine3tdkgnine2three9, First digit = nine, Last digit = 3, f = 9, l = 3
line = 92mkgbdhsdgvqrc, First digit = 9, Last digit = 2, f = 9, l = 2
line = xchjtjbz8, First digit = 8, Last digit = , f = 8, l = 0
line = heightwomgjd6fxzpnl5, First digit = eight, Last digit = 6, f = 8, l = 6
line = jkprh4lqxqhglqjhppcxqnine72vfzkqnine, First digit = 4, Last digit = 4, f = 4, l = 4
line = nine21czjslbsix16threeeight, First digit = nine, Last digit = 2, f = 9, l = 2
line = five9tgbtsft7ggnfktl35threechxpcx, First digit = five, Last digit = 9, f = 5, l = 9
line = qgcnmbg89threevhbpmnnfcgeightnine, First digit = 8, Last digit = 8, f = 8, l = 8
line = 2jdqlgfour3, First digit = 2, Last digit = four, f = 2, l = 4
line = ntnsscfsfive175tjfqnflfdd, First digit = five, Last digit = five, f = 5, l = 5
line = twotz1fourfour7blgzpqtnpc, First digit = two, Last digit = 1, f = 2, l = 1
line = 4fivehsnsstkp3, First digit = 4, Last digit = five, f = 4, l = 5
line = 4bk, First digit = 4, Last digit = , f = 4, l = 0
line = pmvnbqh9, First digit = 9, Last digit = , f = 9, l = 0
line = nine4qnt, First digit = nine, Last digit = 4, f = 9, l = 4
line = nine8eightlqt3, First digit = nine, Last digit = 8, f = 9, l = 8
line = onepccffive8seven, First digit = one, Last digit = five, f = 1, l = 5
line = sdkqkbshzb3nfour, First digit = 3, Last digit = 3, f = 3, l = 3
line = 8eight4kx476four, First digit = 8, Last digit = eight, f = 8, l = 8
line = hl5threeqhdjcqlqbrvsq, First digit = 5, Last digit = 5, f = 5, l = 5
line = skqzcdqcfoursix767zt, First digit = four, Last digit = four, f = 4, l = 4
line = txrvszgqvnpx4sevenlfvvvlhshxhk, First digit = 4, Last digit = 4, f = 4, l = 4
line = seven8eightseven9rcdjfourseven, First digit = seven, Last digit = 8, f = 7, l = 8
line = 5eight5ninetpjpsptwo, First digit = 5, Last digit = eight, f = 5, l = 8
line = nine38ninetwotwoseveneightwogpn, First digit = nine, Last digit = 3, f = 9, l = 3
line = 7sixone2grgfour, First digit = 7, Last digit = six, f = 7, l = 6
line = szfmk2five36, First digit = 2, Last digit = 2, f = 2, l = 2
line = eightnbcthreefivedmhfmstslfz2stzck2, First digit = eight, Last digit = three, f = 8, l = 3
line = xffvthreethreeseven1kzcptthree, First digit = three, Last digit = three, f = 3, l = 3
line = pskfthreepk17gz, First digit = three, Last digit = three, f = 3, l = 3
line = four7rlk1eight, First digit = four, Last digit = 7, f = 4, l = 7
line = 9xqjdvfzbvfour2dxlhbspzppf896, First digit = 9, Last digit = four, f = 9, l = 4
line = lstpxqdlmptvrvf9gvdqkfsjcvqnpnsix, First digit = 9, Last digit = 9, f = 9, l = 9
line = eightsevenfive6sixphjcrdtnlddfcbrgonetwo, First digit = eight, Last digit = seven, f = 8, l = 7
line = 4rshkxgsbvgphlrxkxgbpjhqdgjzjlonepscqdhk, First digit = 4, Last digit = one, f = 4, l = 1
line = mzclsv373sixlb, First digit = 3, Last digit = 3, f = 3, l = 3
line = snqmxmghbhpvzzff4threenmfkps, First digit = 4, Last digit = 4, f = 4, l = 4
line = 7fivebqffc, First digit = 7, Last digit = five, f = 7, l = 5
line = 2mdvq4m, First digit = 2, Last digit = 4, f = 2, l = 4
line = ztlp6seven, First digit = 6, Last digit = 6, f = 6, l = 6
line = onesixninesix1three2fivetwonengp, First digit = one, Last digit = six, f = 1, l = 6
line = jqplcrrtgshzfrdcgvrxst383three, First digit = 3, Last digit = 3, f = 3, l = 3
line = 68twoseven, First digit = 6, Last digit = 8, f = 6, l = 8
line = 2eighteightpzzrlhpbmfivefour, First digit = 2, Last digit = eight, f = 2, l = 8
line = nxqjlh3, First digit = 3, Last digit = , f = 3, l = 0
line = hxgf6, First digit = 6, Last digit = , f = 6, l = 0
line = 786cfcrl, First digit = 7, Last digit = 8, f = 7, l = 8
line = 8seven7, First digit = 8, Last digit = seven, f = 8, l = 7
line = 2xmnbrcvbbvsevenfour, First digit = 2, Last digit = seven, f = 2, l = 7
line = eight9nine4gjrrq6two, First digit = eight, Last digit = 9, f = 8, l = 9
line = 3ninethree, First digit = 3, Last digit = nine, f = 3, l = 9
line = mgmgbfbptqdh79ltwo, First digit = 7, Last digit = 7, f = 7, l = 7
line = onevk8kfive8sixone2, First digit = one, Last digit = 8, f = 1, l = 8
line = 79mngvbhpkh1one, First digit = 7, Last digit = 9, f = 7, l = 9
line = 14fivetzmtgcqpzjpzhjxfvfmbnljxeightzlbktsmsln, First digit = 1, Last digit = 4, f = 1, l = 4
line = 744fivezxxgtvd9eight, First digit = 7, Last digit = 4, f = 7, l = 4
line = tccmpsggmhv2jljznkpndntqrninenfzdvzkbrg, First digit = 2, Last digit = 2, f = 2, l = 2
line = nineeightone7threejjgzskd8fiveftxr, First digit = nine, Last digit = one, f = 9, l = 1
line = vvtwonetwo2nineonedvhr6, First digit = two, Last digit = two, f = 2, l = 2
line = 8p47qcspdvhgnfeight8twoeight, First digit = 8, Last digit = 4, f = 8, l = 4
line = twoldpdsfivehrpzthreeone1jzf, First digit = two, Last digit = five, f = 2, l = 5
line = vnine7four84mjphfztmjt, First digit = nine, Last digit = nine, f = 9, l = 9
line = 58qksl, First digit = 5, Last digit = 8, f = 5, l = 8
line = 4threesixeight9two, First digit = 4, Last digit = three, f = 4, l = 3
line = 2sevenmfnbfbvxrf, First digit = 2, Last digit = seven, f = 2, l = 7
line = 22sixfmcpqlr, First digit = 2, Last digit = six, f = 2, l = 6
line = 45eightl8flklsqkl, First digit = 4, Last digit = 5, f = 4, l = 5
line = fbfgcblg7jtjhfrsnkfour4vx1, First digit = 7, Last digit = 7, f = 7, l = 7
line = 5tgvdhfive6cnkhnjldhqpj, First digit = 5, Last digit = five, f = 5, l = 5
line = kmbjhbfpbdmczlbg2oneightd, First digit = 2, Last digit = 2, f = 2, l = 2
line = hconeightthree4zgcone, First digit = one, Last digit = one, f = 1, l = 1
line = 6kvfj5, First digit = 6, Last digit = 5, f = 6, l = 5
line = three6lfnxx, First digit = three, Last digit = 6, f = 3, l = 6
line = 9pvhzpfqh5vlgj3nnkggxqbcxthreethree, First digit = 9, Last digit = 5, f = 9, l = 5
line = seveneightdrbthree5sixcgkxvpdz, First digit = seven, Last digit = three, f = 7, l = 3
line = 7seventwokcsixdgqfbvrqcp, First digit = 7, Last digit = seven, f = 7, l = 7
line = threefive2sixsix, First digit = three, Last digit = five, f = 3, l = 5
line = bxlckjtznjfspcsixsbg4sixzxnlrhhdgp, First digit = six, Last digit = six, f = 6, l = 6
line = xnl7, First digit = 7, Last digit = , f = 7, l = 0
line = 2drd7499sixthree4, First digit = 2, Last digit = 7, f = 2, l = 7
line = tcxdsix94sevenkcmjzb, First digit = six, Last digit = six, f = 6, l = 6
line = seven19qvsdhlpxzgpsqffour, First digit = seven, Last digit = 1, f = 7, l = 1
line = twobb24onetwo4, First digit = two, Last digit = 2, f = 2, l = 2
line = fivefour4three7, First digit = five, Last digit = 4, f = 5, l = 4
line = sevenonethreesixdq1, First digit = seven, Last digit = one, f = 7, l = 1
line = rvfjxqd7, First digit = 7, Last digit = , f = 7, l = 0
line = tk3, First digit = 3, Last digit = , f = 3, l = 0
line = 66threefour, First digit = 6, Last digit = three, f = 6, l = 3
line = htwonekfgczxgkzlhxtzpbfdeight8four, First digit = two, Last digit = two, f = 2, l = 2
line = four4eightfourgtcqgpvl83fqvtwoneqk, First digit = four, Last digit = 4, f = 4, l = 4
line = rbsfmdkdcjgjnvn6l21, First digit = 6, Last digit = 6, f = 6, l = 6
line = m4foursix1, First digit = 4, Last digit = 4, f = 4, l = 4
line = 4fqddqlgqjzone, First digit = 4, Last digit = one, f = 4, l = 1
line = 3rnxq64onefive, First digit = 3, Last digit = 6, f = 3, l = 6
line = 5sixtnthdqksseven5, First digit = 5, Last digit = six, f = 5, l = 6
line = ksdlqrxdgp8five, First digit = 8, Last digit = 8, f = 8, l = 8
line = tsix62sixone2sixoneightl, First digit = six, Last digit = six, f = 6, l = 6
line = nzplhfour3, First digit = four, Last digit = four, f = 4, l = 4
line = ninethreeninehkqkvkmsixznxmb3six, First digit = nine, Last digit = three, f = 9, l = 3
line = 41six8, First digit = 4, Last digit = 1, f = 4, l = 1
line = 7eight187nine, First digit = 7, Last digit = eight, f = 7, l = 8
line = sixckpmqzplxnineone4znlrfssc, First digit = six, Last digit = nine, f = 6, l = 9
line = 1cxjrhptthree, First digit = 1, Last digit = three, f = 1, l = 3
line = 1sqmtfgjqb1, First digit = 1, Last digit = , f = 1, l = 0
line = 7zvzhfkeight, First digit = 7, Last digit = eight, f = 7, l = 8
line = 69rxlcvmftnr8five1, First digit = 6, Last digit = 9, f = 6, l = 9
line = 8bone, First digit = 8, Last digit = one, f = 8, l = 1
line = 47thhzfpkeight, First digit = 4, Last digit = 7, f = 4, l = 7
line = threesixksevensevenfssevennine3, First digit = three, Last digit = six, f = 3, l = 6
line = 5fivethcktzjfivehbkhgpstwoqgbdjknrfcpqvvhnine, First digit = 5, Last digit = five, f = 5, l = 5
line = 3n, First digit = 3, Last digit = , f = 3, l = 0
line = eight4xftrfsbtqd3sgmgvtrhrltz3, First digit = eight, Last digit = 4, f = 8, l = 4
line = pdstthreeeightx297two, First digit = three, Last digit = three, f = 3, l = 3
line = six6ghftkxqmvtfhtnjcvhhnine7, First digit = six, Last digit = 6, f = 6, l = 6
line = 51nine5, First digit = 5, Last digit = 1, f = 5, l = 1
line = seven81tfqzkthfmt, First digit = seven, Last digit = 8, f = 7, l = 8
line = 3bndtfourtljqdjhgqjhldhf3three, First digit = 3, Last digit = four, f = 3, l = 4
line = 3dpqsgqscqrppfivesevenmgvm, First digit = 3, Last digit = five, f = 3, l = 5
line = ns2lkqsixglmsvdrd, First digit = 2, Last digit = 2, f = 2, l = 2
line = 9sixfivetrhdrsgfqz6onefive27, First digit = 9, Last digit = six, f = 9, l = 6
line = nine67xzdzrgsevenonehlfkstmshgzpgbk, First digit = nine, Last digit = 6, f = 9, l = 6
line = bzvvqpxnznkzsmr5, First digit = 5, Last digit = , f = 5, l = 0
line = plcxrv7nine57bpnkxltnrlvlnslvd3, First digit = 7, Last digit = 7, f = 7, l = 7
line = onextfttfivebxplndseven7, First digit = one, Last digit = five, f = 1, l = 5
line = 98fourninefhvlrpqnsixsix, First digit = 9, Last digit = 8, f = 9, l = 8
line = 9onesevenfour, First digit = 9, Last digit = one, f = 9, l = 1
line = vmnoneightsj63fiverkrrgzfdjsngdmcfprkkvzqnlkg6four, First digit = one, Last digit = one, f = 1, l = 1
line = threefourtwoonejseven9xvcseven, First digit = three, Last digit = four, f = 3, l = 4
line = gljjpmskv5sevensix7three, First digit = 5, Last digit = 5, f = 5, l = 5
line = nqlxzkzknphxxvzrqrlstxjkdtlnx8, First digit = 8, Last digit = , f = 8, l = 0
line = 52three, First digit = 5, Last digit = 2, f = 5, l = 2
line = 9onefourgfksix24, First digit = 9, Last digit = one, f = 9, l = 1
line = nrcnqtqx66fbgfg22, First digit = 6, Last digit = 6, f = 6, l = 6
line = qkljqjpp6qnrcvscjglpphxtvqrdznqtwo8fjlzmzc, First digit = 6, Last digit = 6, f = 6, l = 6
line = twoczkmvmr5sevenhvonedqvvln, First digit = two, Last digit = 5, f = 2, l = 5
line = 8tvphxpfmhzpfour36seven, First digit = 8, Last digit = four, f = 8, l = 4
line = eight39gqfdmfhgg, First digit = eight, Last digit = 3, f = 8, l = 3
line = xkcsxsxkn6, First digit = 6, Last digit = , f = 6, l = 0
line = frxlxtjbkgsbgtfzdlrql329zfxbhghqx, First digit = 3, Last digit = 3, f = 3, l = 3
line = nine75eight, First digit = nine, Last digit = 7, f = 9, l = 7
line = 1vfdtvhrthreevssjcjkrv, First digit = 1, Last digit = three, f = 1, l = 3
line = seventgthfskdc7xrpghjrhn2, First digit = seven, Last digit = 7, f = 7, l = 7
line = fivetmxkjczpjninefive5pss3onetwonetmq, First digit = five, Last digit = nine, f = 5, l = 9
line = 4klstxhhpjzfkvonefourthreezkchsjone, First digit = 4, Last digit = one, f = 4, l = 1
line = rxljd9four94six4, First digit = 9, Last digit = 9, f = 9, l = 9
line = 5fgnnfjl2three, First digit = 5, Last digit = 2, f = 5, l = 2
line = ngfq4rsevenvngjtrjvvkcnvrs, First digit = 4, Last digit = 4, f = 4, l = 4
line = eighttqc7frmxtfoureightonetwo, First digit = eight, Last digit = 7, f = 8, l = 7
line = threegtzbdttnd6tnlsevenlfqbnvlpg8r, First digit = three, Last digit = 6, f = 3, l = 6
line = dsjfrslnxb8fournineshzqfourmxjvhone, First digit = 8, Last digit = 8, f = 8, l = 8
line = 27bxtdmsshfourtwo86, First digit = 2, Last digit = 7, f = 2, l = 7
line = threesevensix5vc, First digit = three, Last digit = seven, f = 3, l = 7
line = 44seven, First digit = 4, Last digit = seven, f = 4, l = 7
line = two1eighttwosevensix8, First digit = two, Last digit = 1, f = 2, l = 1
line = hbnlzhbfvztwo4kjfzktwotwo2sqgvdbrjbg, First digit = two, Last digit = two, f = 2, l = 2
line = two6sv6, First digit = two, Last digit = 6, f = 2, l = 6
line = gdgdsbtwo98vhdlf3eightwohgv, First digit = two, Last digit = two, f = 2, l = 2
line = tztgspssevendqpxvtsftgclhct4mktj4, First digit = seven, Last digit = seven, f = 7, l = 7
line = xbnzpglcdgrrcttvjxx4, First digit = 4, Last digit = , f = 4, l = 0
line = dkzeightwotwo1gpfn3njqzkxhhsc, First digit = eight, Last digit = eight, f = 8, l = 8
line = 1ggsixfive, First digit = 1, Last digit = six, f = 1, l = 6
line = 2eighthlhthdn, First digit = 2, Last digit = eight, f = 2, l = 8
line = hczrldvxffninemzbhsv2two5eightwozfh, First digit = nine, Last digit = nine, f = 9, l = 9
line = nksxdqvpgq6jhzl, First digit = 6, Last digit = 6, f = 6, l = 6
line = tkvjsxzgrp7four4thlzxone33, First digit = 7, Last digit = 7, f = 7, l = 7
line = bpncmqxsprpkbpznfivebvhd7lpqspfhsgq1, First digit = five, Last digit = five, f = 5, l = 5
line = threeone174fourkbkqvtjlfn, First digit = three, Last digit = one, f = 3, l = 1
line = fivejtwofive96fiveclc7, First digit = five, Last digit = two, f = 5, l = 2
line = twotwothree22twosevengbqqstsxhqgczp, First digit = two, Last digit = 2, f = 2, l = 2
line = qgtwonefive3three, First digit = two, Last digit = two, f = 2, l = 2
line = nineeight6nine1three1eight, First digit = nine, Last digit = 6, f = 9, l = 6
line = oneeightndv5, First digit = one, Last digit = 5, f = 1, l = 5
line = 98eightoneonermnddmgqsseven7, First digit = 9, Last digit = 8, f = 9, l = 8
line = 4l, First digit = 4, Last digit = , f = 4, l = 0
line = 6r8xlfznmgffgmrnfsix13rnsv, First digit = 6, Last digit = 8, f = 6, l = 8
line = 82vvnmv1seven, First digit = 8, Last digit = 2, f = 8, l = 2
line = 1nqrqgqjrjqgpxxfrqm, First digit = 1, Last digit = , f = 1, l = 0
line = ckdmgxspjfoureightnblkpcfr1, First digit = four, Last digit = four, f = 4, l = 4
line = 2threesixqczmrxhdrsevenfour, First digit = 2, Last digit = three, f = 2, l = 3
line = fkpr1seven65nine, First digit = 1, Last digit = 1, f = 1, l = 1
line = 1ninerr6, First digit = 1, Last digit = nine, f = 1, l = 9
line = 5lkr, First digit = 5, Last digit = , f = 5, l = 0
line = nft4sevensixslqdfpdlskeight, First digit = 4, Last digit = 4, f = 4, l = 4
line = eightfiveone7rdptzjjmmcqone, First digit = eight, Last digit = five, f = 8, l = 5
line = 6qghmzchmtjktjkbseightczbjmsvmrk88cgctthsbz, First digit = 6, Last digit = eight, f = 6, l = 8
line = twozzgrzbgkrkmklkmvfive86five, First digit = two, Last digit = five, f = 2, l = 5
line = 4six21xjxqjmqjdlone55three, First digit = 4, Last digit = six, f = 4, l = 6
line = five42fiveone, First digit = five, Last digit = 4, f = 5, l = 4
line = eighthc747sevenone, First digit = eight, Last digit = 7, f = 8, l = 7
line = four333six6, First digit = four, Last digit = 3, f = 4, l = 3
line = bczkrqdh8one4zqcxrkk, First digit = 8, Last digit = 8, f = 8, l = 8
line = 3cxhkclpfiveqgsk, First digit = 3, Last digit = five, f = 3, l = 5
line = 6eightjnghnlzbhbvnonetwobjfrpnfqsix, First digit = 6, Last digit = eight, f = 6, l = 8
line = 4ninecjzlk7nine, First digit = 4, Last digit = nine, f = 4, l = 9
line = 85four, First digit = 8, Last digit = 5, f = 8, l = 5
line = mkfcnntfb2ltjnjbslfgvztxgpfcnine6four, First digit = 2, Last digit = 2, f = 2, l = 2
line = zqzllvsdvtwonine4onenineeight, First digit = two, Last digit = two, f = 2, l = 2
line = 11sixpjjvxbsbjfive, First digit = 1, Last digit = six, f = 1, l = 6
line = 35nhjgtpflthreejqbgvgkdcddpfzfpt, First digit = 3, Last digit = 5, f = 3, l = 5
line = 9threebcv4sqtrdrgnb, First digit = 9, Last digit = three, f = 9, l = 3
line = x4bptzpfgsevenfivenine, First digit = 4, Last digit = 4, f = 4, l = 4
line = 1oneqgfpcdntgonectjgnrdxjptfd, First digit = 1, Last digit = one, f = 1, l = 1
line = zrblfddvtgbqtkvddhqzpkk71ldtsixmsjjkr, First digit = 7, Last digit = 7, f = 7, l = 7
line = three5mjt, First digit = three, Last digit = 5, f = 3, l = 5
line = one37ninenineonexjtl2xqhhnmtd, First digit = one, Last digit = 3, f = 1, l = 3
line = 552oneonehzscghzpqvtndvlpj, First digit = 5, Last digit = 2, f = 5, l = 2
line = two8nineeightkfrckndvzhcbdhcdg9, First digit = two, Last digit = 8, f = 2, l = 8
line = hgdjgone22dsdnjjsmjtrxhxssx, First digit = one, Last digit = one, f = 1, l = 1
line = snh6bntph, First digit = 6, Last digit = 6, f = 6, l = 6
